"2020-08-31 21:16","Bad Bunny","Hablamos Mañana","7030"
"2020-08-31 21:16","Bizarrap","Lit Killah: Bzrp Freestyle Sessions, Vol. 3","13700"
"2020-08-31 21:19","Lit Killah","Flexin'","179383"
"2020-08-31 21:23","Bad Bunny","Hablamos Mañana","240253"
"2020-08-31 21:25","Bizarrap","Cazzu: Bzrp Music Sessions, Vol. 32","146106"
"2020-08-31 21:29","Bizarrap","Zaramay: Bzrp Music Sessions, Vol. 31","219545"
"2020-08-31 21:31","Bizarrap","C.R.O: Bzrp Music Sessions, Vol. 29","95411"
"2020-08-31 23:03","Canserbero","Buenas Noches","189390"
"2020-08-31 23:30","Chystemc","La Pronoia del Sun Joke Fú","372160"
"2020-08-31 23:35","Cidtronyck","Esta Noche (feat. Portavoz, Niel & Evelyn Cornejo)","268906"
"2020-08-31 23:41","Moral Distraida","Recreo","13016"
"2020-08-31 23:41","Canserbero","Es Épico","361978"
"2020-09-01 07:52","Future","Accepting My Flaws","259070"
"2020-09-01 07:57","Eminem","Sing For The Moment","224842"
"2020-09-02 20:24","Fito Paez","Dar Es Dar","2805"
"2020-09-02 20:24","Fito Paez","Dar Es Dar","1412"
"2020-09-02 20:29","Andrés Calamaro","Crímenes perfectos","264840"
"2020-09-02 20:31","Los Abuelos De La Nada","Mil Horas","167066"
"2020-09-02 20:35","Bersuit Vergarabat","Mi Caramelo - Live In Buenos Aires / 2001","209893"
"2020-09-02 20:39","Luis Alberto Spinetta","Bajan (En Vivo) (feat. Gustavo Cerati)","225906"
"2020-09-02 20:42","Andrés Calamaro","Loco","217373"
"2020-09-02 20:46","Fito Paez","Polaroid De Locura Ordinaria","209240"
